"Driver.ID","Vehicle.ID","Vehicle.Model.Year"
10731,23,2005
12642,51,2005
15700,73,2005
16088,68,2005
16933,29,2005
19270,59,2005
24480,10,2005
27698,80,2005
28082,23,2005
28087,50,2005
28339,63,2005
28346,76,2005
29119,48,2005
30213,41,2005
30296,8,2005
30638,43,2005
31783,78,2005
7318,68,2005
7569,3,2005
8448,28,2005
15264,52,2005
17549,47,2005
17852,77,2005
18194,76,2005
27898,44,2005
30777,72,2005
3163,78,2005
3702,53,2005
3792,60,2005
4052,36,2005
5596,83,2005
5757,63,2005
6307,32,2005
7668,59,2005
8681,69,2005
9434,78,2005
9920,56,2005
10439,80,2005
10605,34,2005
11947,68,2005
12102,43,2005
13715,80,2005
13745,53,2005
13960,51,2005
14229,44,2005
14855,61,2005
15350,54,2005
16135,18,2005
16540,69,2005
16598,80,2005
16757,51,2005
16913,55,2005
16988,65,2005
18163,55,2005
18522,44,2005
18635,44,2005
22012,73,2005
22391,46,2005
22825,35,2005
22981,66,2005
23301,63,2005
25944,72,2005
28048,54,2005
29383,70,2005
29501,66,2005
29574,47,2005
29836,82,2005
31633,43,2005
31844,45,2005
31899,37,2005
32210,46,2005
32214,82,2005
32295,82,2005
32743,51,2005
9003,36,2005
3767,11,2005
5693,25,2005
5910,68,2005
6552,15,2005
9356,10,2005
10273,42,2005
10303,45,2005
11817,75,2005
17573,46,2005
20030,3,2005
21113,13,2005
23117,3,2005
26196,61,2005
26535,70,2005
26717,68,2005
30353,80,2005
3067,12,2005
3124,77,2005
3389,74,2005
3596,67,2005
3993,49,2005
4115,86,2005
4534,60,2005
4596,76,2005
4673,81,2005
5660,62,2005
6592,41,2005
6771,31,2005
6963,46,2005
7555,77,2005
7578,44,2005
8370,70,2005
8468,56,2005
8637,49,2005
8923,57,2005
9456,67,2005
9484,57,2005
9662,47,2005
10577,33,2005
11068,16,2005
11093,82,2005
12172,32,2005
12464,36,2005
13618,69,2005
13633,60,2005
14919,75,2005
15366,40,2005
15820,2,2005
16323,31,2005
16873,28,2005
17555,1,2005
17741,50,2005
18115,62,2005
18233,52,2005
18885,41,2005
18935,79,2005
19499,87,2005
20055,79,2005
20110,3,2005
21605,66,2005
21880,10,2005
22819,62,2005
22987,65,2005
23713,4,2005
24086,60,2005
24279,61,2005
24309,83,2005
24602,87,2005
24649,58,2005
24734,34,2005
25818,83,2005
25862,43,2005
26501,77,2005
27183,52,2005
27531,69,2005
27604,85,2005
28003,44,2005
28211,43,2005
28303,86,2005
28404,78,2005
28677,80,2005
29013,82,2005
29037,66,2005
29714,33,2005
29788,70,2005
30492,57,2005
31004,67,2005
32399,77,2005
32410,38,2005
32420,69,2005
19875,40,2005
13534,54,2005
13644,51,2005
14621,68,2005
16319,58,2005
16895,50,2005
18862,40,2005
20359,43,2005
22824,38,2005
24108,40,2005
25344,10,2005
26537,53,2005
27784,53,2005
27871,30,2005
27963,30,2005
28050,44,2005
28748,47,2005
30365,57,2005
30720,61,2005
30783,7,2005
31239,40,2005
32265,58,2005
32939,11,2005
3578,31,2005
3614,75,2005
3656,18,2005
3718,85,2005
3729,60,2005
3924,49,2005
3991,77,2005
4138,50,2005
4308,64,2005
4939,46,2005
5806,4,2005
6928,47,2005
7031,35,2005
7164,26,2005
7285,49,2005
8061,35,2005
8288,45,2005
8764,65,2005
9333,12,2005
9866,61,2005
10002,77,2005
10021,59,2005
10909,57,2005
10929,62,2005
11458,39,2005
11632,51,2005
12223,20,2005
12629,66,2005
12700,4,2005
13154,39,2005
13487,41,2005
13739,66,2005
14263,85,2005
14296,36,2005
14350,43,2005
14820,52,2005
15107,42,2005
15198,44,2005
15545,45,2005
16200,61,2005
16410,75,2005
16601,49,2005
16950,73,2005
17187,69,2005
17396,58,2005
17536,59,2005
17664,53,2005
18602,69,2005
18897,81,2005
19027,69,2005
19989,77,2005
20458,75,2005
20504,75,2005
20573,71,2005
20929,53,2005
22546,75,2005
22747,50,2005
24145,83,2005
24776,79,2005
24812,52,2005
25220,40,2005
25606,81,2005
26134,21,2005
28054,81,2005
28060,72,2005
28219,76,2005
28410,35,2005
29464,63,2005
30016,75,2005
31139,48,2005
31410,40,2005
31624,65,2005
32292,79,2005
32560,53,2005
32586,65,2005
